sido_cd,sido_nm,sido_en,mode,mean_access_2021,mean_access_2022,mean_access_2023,access_change,access_pct_change,total_pop_2021,total_pop_2022,total_pop_2023,banks_2021,banks_2022,banks_2023,bank_change,bank_pct_change
31,경기도,Gyeonggi,transit,31.696492757251544,26.739865593629858,25.56201182591337,-6.1344809313381745,-19.353816140855912,13652529,13717827,13815367,1180,1121,1112,-68,-5.762711864406779
32,강원특별자치도,Gangwon,car,12.251330910906834,12.060768816461906,11.625333275742237,-0.6259976351645964,-5.109629637113937,1521890,1528037,1528014,133,133,131,-2,-1.5037593984962405
32,강원특별자치도,Gangwon,transit,6.719571716746939,6.204519622234278,6.014874132915885,-0.7046975838310541,-10.487239567289123,1521890,1528037,1528014,133,133,131,-2,-1.5037593984962405
33,충청북도,Chungbuk,car,24.229691204384146,23.588838228841603,20.4146505503262,-3.8150406540579453,-15.745312731710126,1624764,1624993,1641481,137,133,129,-8,-5.839416058394161
33,충청북도,Chungbuk,transit,11.153441812677617,10.120861279607563,9.532313705326674,-1.621128107350943,-14.534778901238177,1624764,1624993,1641481,137,133,129,-8,-5.839416058394161
34,충청남도,Chungnam,car,18.192347745362966,17.686522154244866,17.40725667454154,-0.7850910708214265,-4.315501670319257,2175960,2193214,2216332,174,167,167,-7,-4.022988505747127
34,충청남도,Chungnam,transit,9.716882939024615,9.053930373415453,8.002215921020255,-1.7146670180043593,-17.646266078990948,2175960,2193214,2216332,174,167,167,-7,-4.022988505747127
35,전북특별자치도,Jeonbuk,car,33.34549171177352,32.604228382954354,30.797578839813152,-2.547912871960367,-7.640951568456729,1787053,1774248,1768491,190,183,182,-8,-4.2105263157894735
35,전북특별자치도,Jeonbuk,transit,26.308569303764354,23.84630038566574,25.004600937560138,-1.3039683662042165,-4.956439672368039,1787053,1774248,1768491,190,183,182,-8,-4.2105263157894735
36,전라남도,Jeonnam,car,11.54251334552596,10.928861468496374,10.226560617965765,-1.3159527275601945,-11.40092013036551,1778124,1771431,1776668,167,159,153,-14,-8.383233532934131
36,전라남도,Jeonnam,transit,8.751468148453089,8.013721919359734,7.488740224209963,-1.2627279242431255,-14.428755299375975,1778124,1771431,1776668,167,159,153,-14,-8.383233532934131
37,경상북도,Gyeongbuk,car,15.103481636967302,12.732149838988738,11.91916613897169,-3.1843154979956125,-21.083320882793526,2614029,2598576,2589880,243,236,232,-11,-4.526748971193416
37,경상북도,Gyeongbuk,transit,8.210610428065896,7.399527176935881,7.197889464634139,-1.0127209634317573,-12.334295632515053,2614029,2598576,2589880,243,236,232,-11,-4.526748971193416
38,경상남도,Gyeongnam,car,24.06991162247488,22.014819120411335,20.984169166298805,-3.0857424561760745,-12.819916020359685,3305931,3280829,3271148,324,308,326,2,0.6172839506172839
38,경상남도,Gyeongnam,transit,17.178448229359095,14.831312101301226,13.889125606667752,-3.2893226226913423,-19.147961322080732,3305931,3280829,3271148,324,308,326,2,0.6172839506172839
39,제주특별자치도,Jeju,car,28.25863495699792,25.5061230826095,25.37610580894163,-2.882529148056289,-10.200525087084804,673107,676375,676767,75,75,74,-1,-1.3333333333333335
39,제주특별자치도,Jeju,transit,14.75675660283828,12.659907595638515,12.666313517059786,-2.090443085778494,-14.166006406695244,673107,676375,676767,75,75,74,-1,-1.3333333333333335
